"om.process","em.process","estimated","weighted","count","converged.pct"
"OM: sigma=0","EM sigma=0","Fixed","Under-weighted",100,100
"OM: sigma=0","EM sigma=0","Fixed","Right-weighted",100,100
"OM: sigma=0","EM sigma=0","Fixed","Over-weighted",100,100
"OM: sigma=0","EM sigma=0","h","Under-weighted",100,100
"OM: sigma=0","EM sigma=0","h","Right-weighted",100,100
"OM: sigma=0","EM sigma=0","h","Over-weighted",100,100
"OM: sigma=0","EM sigma=0","M","Under-weighted",100,100
"OM: sigma=0","EM sigma=0","M","Right-weighted",100,100
"OM: sigma=0","EM sigma=0","M","Over-weighted",100,100
"OM: sigma=0","EM sigma=.5","Fixed","Under-weighted",100,100
"OM: sigma=0","EM sigma=.5","Fixed","Right-weighted",100,100
"OM: sigma=0","EM sigma=.5","Fixed","Over-weighted",95,95
"OM: sigma=0","EM sigma=.5","h","Under-weighted",100,100
"OM: sigma=0","EM sigma=.5","h","Right-weighted",99,99
"OM: sigma=0","EM sigma=.5","h","Over-weighted",98,98
"OM: sigma=0","EM sigma=.5","M","Under-weighted",100,100
"OM: sigma=0","EM sigma=.5","M","Right-weighted",97,97
"OM: sigma=0","EM sigma=.5","M","Over-weighted",95,95
"OM: sigma=0","EM sigma=1","Fixed","Under-weighted",100,100
"OM: sigma=0","EM sigma=1","Fixed","Right-weighted",100,100
"OM: sigma=0","EM sigma=1","Fixed","Over-weighted",99,99
"OM: sigma=0","EM sigma=1","h","Under-weighted",100,100
"OM: sigma=0","EM sigma=1","h","Right-weighted",100,100
"OM: sigma=0","EM sigma=1","h","Over-weighted",100,100
"OM: sigma=0","EM sigma=1","M","Under-weighted",100,100
"OM: sigma=0","EM sigma=1","M","Right-weighted",99,99
"OM: sigma=0","EM sigma=1","M","Over-weighted",98,98
"OM: sigma=.5","EM sigma=0","Fixed","Under-weighted",100,100
"OM: sigma=.5","EM sigma=0","Fixed","Right-weighted",100,100
"OM: sigma=.5","EM sigma=0","Fixed","Over-weighted",100,100
"OM: sigma=.5","EM sigma=0","h","Under-weighted",100,100
"OM: sigma=.5","EM sigma=0","h","Right-weighted",100,100
"OM: sigma=.5","EM sigma=0","h","Over-weighted",100,100
"OM: sigma=.5","EM sigma=0","M","Under-weighted",100,100
"OM: sigma=.5","EM sigma=0","M","Right-weighted",100,100
"OM: sigma=.5","EM sigma=0","M","Over-weighted",100,100
"OM: sigma=.5","EM sigma=.5","Fixed","Under-weighted",100,100
"OM: sigma=.5","EM sigma=.5","Fixed","Right-weighted",100,100
"OM: sigma=.5","EM sigma=.5","Fixed","Over-weighted",100,100
"OM: sigma=.5","EM sigma=.5","h","Under-weighted",100,100
"OM: sigma=.5","EM sigma=.5","h","Right-weighted",100,100
"OM: sigma=.5","EM sigma=.5","h","Over-weighted",100,100
"OM: sigma=.5","EM sigma=.5","M","Under-weighted",100,100
"OM: sigma=.5","EM sigma=.5","M","Right-weighted",100,100
"OM: sigma=.5","EM sigma=.5","M","Over-weighted",100,100
"OM: sigma=.5","EM sigma=1","Fixed","Under-weighted",100,100
"OM: sigma=.5","EM sigma=1","Fixed","Right-weighted",100,100
"OM: sigma=.5","EM sigma=1","Fixed","Over-weighted",100,100
"OM: sigma=.5","EM sigma=1","h","Under-weighted",100,100
"OM: sigma=.5","EM sigma=1","h","Right-weighted",100,100
"OM: sigma=.5","EM sigma=1","h","Over-weighted",100,100
"OM: sigma=.5","EM sigma=1","M","Under-weighted",100,100
"OM: sigma=.5","EM sigma=1","M","Right-weighted",100,100
"OM: sigma=.5","EM sigma=1","M","Over-weighted",100,100
