"om.process","em.process","estimated","Under-weighted","Right-weighted","Over-weighted"
"OM: sigma=0","EM sigma=0","Fixed",1,1,1
"OM: sigma=0","EM sigma=0","h",0.97,0.96,0.903333333333333
"OM: sigma=0","EM sigma=0","M",1,1,1
"OM: sigma=0","EM sigma=.5","Fixed",NA,NA,NA
"OM: sigma=0","EM sigma=.5","h",NA,NA,NA
"OM: sigma=0","EM sigma=.5","M",NA,NA,NA
"OM: sigma=0","EM sigma=1","Fixed",NA,NA,NA
"OM: sigma=0","EM sigma=1","h",NA,NA,NA
"OM: sigma=0","EM sigma=1","M",NA,NA,NA
"OM: sigma=.5","EM sigma=0","Fixed",1,1,1
"OM: sigma=.5","EM sigma=0","h",0.32,0.103333333333333,0.3
"OM: sigma=.5","EM sigma=0","M",1,1,0.866666666666667
"OM: sigma=.5","EM sigma=.5","Fixed",NA,NA,NA
"OM: sigma=.5","EM sigma=.5","h",NA,NA,NA
"OM: sigma=.5","EM sigma=.5","M",NA,NA,NA
"OM: sigma=.5","EM sigma=1","Fixed",NA,NA,NA
"OM: sigma=.5","EM sigma=1","h",NA,NA,NA
"OM: sigma=.5","EM sigma=1","M",NA,NA,NA
